kernel,representation,bit_width,dimension,implementation,isa,access_pattern,cache_mode,query_prep_ns,score_ns,cycles_per_score_est,cycles_per_dim_est,scores_per_second_M,bytes_per_score
4bit_lut,4bit,4,1536,lut,arm64-jit,sequential,hot_L1L2,16458.0,1259.14,5540.20,3.607,0.8,768
4bit_scalar,4bit,4,1536,scalar,arm64-jit,random,hot_L1L2,42.0,2191.00,9640.39,6.276,0.5,768
4bit_lut,4bit,4,1536,lut,arm64-jit,random,hot_L1L2,18250.0,1258.68,5538.20,3.606,0.8,768
4bit_scalar,4bit,4,1536,scalar,arm64-jit,sequential,large_LLC_pressure,125.0,2226.88,9798.26,6.379,0.4,768
4bit_lut,4bit,4,1536,lut,arm64-jit,sequential,large_LLC_pressure,16250.0,1291.17,5681.16,3.699,0.8,768
4bit_scalar,4bit,4,1536,scalar,arm64-jit,random,large_LLC_pressure,0.0,2358.60,10377.85,6.756,0.4,768
4bit_lut,4bit,4,1536,lut,arm64-jit,random,large_LLC_pressure,16584.0,1422.47,6258.87,4.075,0.7,768
fp32,fp32,32,1536,scalar,arm64-jit,sequential,hot_L1L2,250.0,1212.98,5337.11,3.475,0.8,6144
fp32,fp32,32,1536,scalar,arm64-jit,random,hot_L1L2,84.0,1216.32,5351.80,3.484,0.8,6144
fp32,fp32,32,1536,scalar,arm64-jit,sequential,large_LLC_pressure,0.0,1197.29,5268.07,3.430,0.8,6144
fp32,fp32,32,1536,scalar,arm64-jit,random,large_LLC_pressure,42.0,1328.11,5843.70,3.804,0.8,6144
