config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
baseline,anisotropic,128,cosine,10,0.1240,0.1770,0.2240,0.2940,0.4160,0.4160,0.6231,0.7642,0.0000
baseline,anisotropic,128,cosine,50,0.1880,0.2936,0.3730,0.4858,0.6576,0.2936,0.6231,0.7642,0.0000
baseline,anisotropic,128,cosine,100,0.2365,0.3720,0.4603,0.5924,0.7790,0.2365,0.6231,0.7642,0.0000
adc,anisotropic,128,cosine,10,0.1080,0.1810,0.2220,0.2900,0.4130,0.4130,0.5969,0.7825,0.0000
adc,anisotropic,128,cosine,50,0.1788,0.2792,0.3564,0.4724,0.6478,0.2792,0.5969,0.7825,0.0000
adc,anisotropic,128,cosine,100,0.2247,0.3556,0.4495,0.5815,0.7682,0.2247,0.5969,0.7825,0.0000
rotation,anisotropic,128,cosine,10,0.1160,0.1740,0.2210,0.3030,0.4280,0.4280,0.6241,0.7627,0.0000
rotation,anisotropic,128,cosine,50,0.1902,0.2900,0.3708,0.4904,0.6656,0.2900,0.6241,0.7627,0.0000
rotation,anisotropic,128,cosine,100,0.2373,0.3708,0.4678,0.6023,0.7862,0.2373,0.6241,0.7627,0.0000
adc_rot,anisotropic,128,cosine,10,0.0940,0.1550,0.2090,0.2820,0.4020,0.4020,0.6105,0.7775,0.0000
adc_rot,anisotropic,128,cosine,50,0.1742,0.2736,0.3490,0.4688,0.6420,0.2736,0.6105,0.7775,0.0000
adc_rot,anisotropic,128,cosine,100,0.2304,0.3564,0.4513,0.5822,0.7761,0.2304,0.6105,0.7775,0.0000
baseline,anisotropic,384,l2,10,0.0310,0.0530,0.0650,0.0940,0.1420,0.1420,0.1977,0.9778,0.0000
baseline,anisotropic,384,l2,50,0.0550,0.0924,0.1276,0.1894,0.3152,0.0924,0.1977,0.9778,0.0000
baseline,anisotropic,384,l2,100,0.0790,0.1390,0.1906,0.2769,0.4430,0.0790,0.1977,0.9778,0.0000
adc,anisotropic,384,l2,10,0.0400,0.0660,0.0940,0.1270,0.2010,0.2010,0.2560,1.2532,-0.0001
adc,anisotropic,384,l2,50,0.0798,0.1310,0.1752,0.2532,0.3972,0.1310,0.2560,1.2532,-0.0001
adc,anisotropic,384,l2,100,0.1073,0.1804,0.2407,0.3438,0.5221,0.1073,0.2560,1.2532,-0.0001
rotation,anisotropic,384,l2,10,0.0230,0.0360,0.0480,0.0770,0.1410,0.1410,0.1988,0.9777,0.0000
rotation,anisotropic,384,l2,50,0.0496,0.0958,0.1290,0.1918,0.3166,0.0958,0.1988,0.9777,0.0000
