scorer,datatype,dim,k,cr_k,cr_2k,cr_5k,cr_10k,err_spearman,note
cos_current_adc,uniform,768,10,0.1360,0.2110,0.3630,0.5060,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,768,50,0.2240,0.3390,0.5416,0.7192,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,768,100,0.2709,0.4115,0.6454,0.8255,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,uniform,768,10,0.3950,0.5380,0.7380,0.8840,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,768,50,0.4714,0.6620,0.8800,0.9678,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,768,100,0.5212,0.7253,0.9256,0.9894,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,uniform,768,10,0.2040,0.3250,0.5050,0.6620,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,768,50,0.3114,0.4638,0.6806,0.8320,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,768,100,0.3643,0.5334,0.7698,0.9163,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,uniform,1536,10,0.1300,0.2000,0.3510,0.4710,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,1536,50,0.2280,0.3378,0.5292,0.7112,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,uniform,1536,100,0.2723,0.4053,0.6426,0.8247,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,uniform,1536,10,0.3800,0.5330,0.7550,0.8960,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,1536,50,0.4656,0.6628,0.8790,0.9690,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,uniform,1536,100,0.5182,0.7219,0.9241,0.9876,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,uniform,1536,10,0.2270,0.3440,0.5230,0.6810,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,1536,50,0.3168,0.4642,0.6854,0.8444,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,uniform,1536,100,0.3679,0.5313,0.7758,0.9123,0.0000,symmetric 1-bit Hamming on unit vectors
cos_current_adc,sift_real,128,10,0.1960,0.3200,0.5210,0.6870,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,sift_real,128,50,0.3414,0.5058,0.7576,0.9206,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_current_adc,sift_real,128,100,0.4117,0.6105,0.8738,0.9825,0.0000,current: innerProductADC, no correction (shouldDoADCCorrection==false for non-L2)
cos_normalized_l2adc,sift_real,128,10,0.4060,0.5960,0.8230,0.9220,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,sift_real,128,50,0.5362,0.7430,0.9364,0.9880,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_normalized_l2adc,sift_real,128,100,0.5948,0.8129,0.9691,0.9974,0.0000,normalize then L2 ADC WITH L2 correction (metric-specific-corrected candidate)
cos_baseline_hamming,sift_real,128,10,0.3260,0.4760,0.6510,0.7860,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,sift_real,128,50,0.4206,0.6086,0.8218,0.9302,0.0000,symmetric 1-bit Hamming on unit vectors
cos_baseline_hamming,sift_real,128,100,0.4855,0.6797,0.8881,0.9720,0.0000,symmetric 1-bit Hamming on unit vectors
